set,COCO_AP,COCO_AP50,COCO_AP75,Recall@0.5,mAP@0.5,mean_iou@0.5,corruption,severity
clean,0.690965541232386,0.9984158415841586,0.8364814743758328,1.0,0.9984976524377578,0.8384543455822367,clean,clean
blur_mild,0.6825508223735703,0.9966835707961039,0.8622676809695711,1.0,0.9971716476287296,0.8298465500415211,blur,mild
blur_medium,0.6346280097696976,0.982984386157914,0.7743854002495453,1.0,0.9853868433324671,0.8052973058861745,blur,medium
blur_strong,0.48944223292349126,0.8484838146582925,0.6311404757531376,0.9859154929577465,0.8526079370537404,0.7857853957584926,blur,strong
noise_mild,0.6345754655635152,0.9077382777565042,0.7799775597845789,1.0,0.9103645257880144,0.8204216033640043,noise,mild
noise_medium,0.6052377723745654,0.8949628381667134,0.7144575773454861,1.0,0.8979960372753135,0.8116375787157408,noise,medium
noise_strong,0.5957620281452609,0.89382894713142,0.6954494902372066,1.0,0.8964437086584354,0.807341132365482,noise,strong
jpeg_mild,0.691383382038776,0.9986393040848485,0.8651766123332348,1.0,0.9988365627745144,0.8397296801419325,jpeg,mild
jpeg_medium,0.6961440276907542,0.9983721345107485,0.8666774151412554,1.0,0.9986465337113274,0.8399487759026003,jpeg,medium
jpeg_strong,0.7009375938759587,0.9982380232693994,0.8679148883837288,1.0,0.9984612661188491,0.8416668680352224,jpeg,strong
brightness_mild,0.693572848742,0.9982445387395884,0.8578034165369176,1.0,0.9984551753489366,0.8405709862709045,brightness,mild
brightness_medium,0.6905666406732786,0.9981188118811885,0.8452256301798965,1.0,0.9984663535311955,0.8415990219989293,brightness,medium
brightness_strong,0.6977722678884182,0.99733307552253,0.8549340765791755,1.0,0.9977116335400303,0.8421206457514159,brightness,strong
contrast_mild,0.690216274983699,0.9986393040848485,0.8587399837359647,1.0,0.9988365627745144,0.8399132926699141,contrast,mild
contrast_medium,0.6915026043893979,0.9983721345107485,0.856550202577289,1.0,0.9986465337113274,0.84105989966594,contrast,medium
contrast_strong,0.6933846702571026,0.998643699986437,0.8659233211506193,1.0,0.9988423691377245,0.8406072174999076,contrast,strong
rotation_mild,0.33943387210124826,0.997073143607797,0.0804456941873688,1.0,0.9973363521136656,0.6878322027098964,rotation,mild
rotation_medium,0.079259397155089,0.34260605567693203,0.002802290596633438,0.9859154929577465,0.34285703525598227,0.6227054825850895,rotation,medium
rotation_strong,0.02395233982938039,0.12379385835738162,0.0005266056964804857,0.7464788732394366,0.1233299971008625,0.5931366861991163,rotation,strong
shadow_mild,0.7024631151042948,0.9974416778062248,0.846576235322246,1.0,0.9978826683497907,0.8388853257810566,shadow,mild
shadow_medium,0.7023414339236319,0.996960219160749,0.8658893716805481,1.0,0.997170045305975,0.839565739665233,shadow,medium
shadow_strong,0.6998719172969879,0.9964478590716214,0.8635233245764933,1.0,0.9966313028213625,0.838579600125971,shadow,strong
